age,income,loan_amount,credit_score,employment_length,num_credit_lines,debt_to_income,previous_defaults,default
56,78870.98451314484,158791.40312738283,656.1770871376546,29,9,0.3522022533972707,0,0
69,28471.344764783593,28123.94882152033,643.8804258892096,38,13,0.3461187141025279,1,1
46,33948.844752435994,42147.70445039707,794.2578172252443,14,2,0.586865871809975,0,1
32,112319.35715261263,6735.533802348987,806.2889819678177,34,14,0.5494695041677834,0,0
60,31742.216702772108,34968.670605951615,635.8340802297793,4,13,0.509476835271221,1,1
25,23764.327309823806,48400.395823619714,673.7636403010745,5,8,0.22996153614788087,0,0
38,80748.32639664823,50221.916844797466,658.1655224772775,24,7,0.08705982030299046,2,1
56,45752.25528781305,49104.845972142844,488.8301558062805,10,7,0.3551202015042452,0,1
36,146311.47132512624,12696.458708560229,616.3564422387993,21,3,0.2641896450660397,1,0
40,72527.5582368631,116148.40855976753,809.9704201048103,33,10,0.1353159914475758,2,1
28,24738.56003252574,165062.64234236832,575.0224124968189,13,12,0.05861526915667065,2,1
28,167687.8517772499,7358.178152381751,850.0,8,2,0.26165597839643534,1,0
41,34957.8673571598,87676.15980740209,767.2126309589382,19,11,0.3905206321928682,1,0
53,40565.04192586015,15251.444811221227,690.1498150546208,15,14,0.3752338882423406,0,0
57,45730.004713260336,40066.286911809286,706.0843285976421,16,10,0.4643528638926542,0,1
41,22629.14292876579,17379.718731978144,558.2793303664974,16,1,0.279932776154615,0,1
20,54310.10986717417,108031.1390842469,623.4771247775298,33,13,0.19298374515632685,1,0
39,26580.575614469337,8210.98600785819,794.139911032176,10,1,0.32322025021919887,1,0
19,45622.20720053864,25659.528132169533,588.5470660826467,34,7,0.5850036358616393,1,1
41,41593.77471324777,21760.995303179458,756.1131756948799,33,9,0.027054322827790276,0,0
61,94105.05156158739,16836.798930196375,512.2959810562942,35,1,0.317199481939166,0,0
47,101270.87331620938,36114.284648395434,530.1841587524989,7,10,0.19755870142542128,2,1
55,28327.108381471462,9214.289072133659,840.1384665586315,18,4,0.06321014335341676,0,0
19,42828.80416999201,42833.48670368179,648.8162853759676,32,14,0.26080233957846666,0,0
38,43368.60761356089,123262.28917580954,596.1500113005659,22,13,0.3846984779897199,3,1
50,28208.982677202446,53974.858232826366,786.2740826998962,1,2,0.31689934034628975,0,0
29,100086.75900249564,63986.97581518122,774.5821554963504,7,14,0.017505882158633978,0,0
39,81418.11256774967,18371.590245895975,742.0754565257239,28,8,0.3474704786930408,1,0
61,30559.62417696199,16786.23835460659,593.0102080587894,6,9,0.1392015502804265,1,1
42,42842.28151977149,26835.162307139533,621.3082424062325,28,3,0.20488593302458877,0,0
66,25591.57172928912,6404.152437538481,681.162882372473,30,3,0.18732284595547724,0,0
44,69470.84737564513,92208.64765557362,719.4399342147237,29,7,0.5151079846649013,1,1
59,26469.67965959302,9657.019046736204,599.1516425981463,34,9,0.028543810581812677,1,1
45,233200.33646448614,74995.36201783546,667.0737110620696,24,7,0.20879805121421544,0,0
33,95861.6444064644,7618.487862978654,676.7391300797406,3,12,0.23688980211708088,1,0
32,44734.37315961957,56884.662073104395,778.6769756375254,37,14,0.37130055809021517,0,0
64,63204.35955250423,9944.91358955856,725.4465828935118,16,13,0.4733789090877843,0,0
68,141148.34675295005,6166.329519832386,499.3198355164709,9,7,0.4365990825989842,3,1
